housing_development,housing_node,subway_node,path_length,path_nodes
303 VERNON AVENUE,"(-73.93951197570972, 40.695735289898465)","(-73.93600679221925, 40.69740539574775)",0.005415450272254846,"[(-73.93951197570972, 40.695735289898465), (-73.93867614288104, 40.69583093541055), (-73.93763027449188, 40.69595086208581), (-73.93771051016633, 40.696319273256904), (-73.93779110792102, 40.696689342233185), (-73.93792316380201, 40.69728284063566), (-73.93794236786998, 40.69736914817849), (-73.93795451445934, 40.697423608148725), (-73.93638762625119, 40.697615301507305), (-73.93600679221925, 40.69740539574775)]"
ALBANY,"(-73.93753114689092, 40.67358374466562)","(-73.93388773677857, 40.668950445057426)",0.008103916434129974,"[(-73.93753114689092, 40.67358374466562), (-73.93730675593065, 40.67334799738817), (-73.93708976184678, 40.67281200628175), (-73.93708255238936, 40.67272750062109), (-73.9368271783595, 40.672719281650245), (-73.93667540626117, 40.67271439535743), (-73.93634319941478, 40.67269957645943), (-73.93355357161703, 40.67251450202635), (-73.93363490519087, 40.671626433641144), (-73.93372501109393, 40.67073377168591), (-73.93379830527282, 40.66989047774086), (-73.93386776665083, 40.6691603437304), (-73.93388773677857, 40.668950445057426)]"
ALBANY II,"(-73.93760573701209, 40.67506741770622)","(-73.94120864299792, 40.67993835324961)",0.008482454022411434,"[(-73.93760573701209, 40.67506741770622), (-73.9378305198489, 40.67512522021523), (-73.93795019787467, 40.67520343302249), (-73.93797459296539, 40.67524996295066), (-73.93800871252763, 40.67535231820821), (-73.9380755324414, 40.675437879142024), (-73.93814395171164, 40.67544142163284), (-73.93829299986537, 40.67545226164337), (-73.93836996623352, 40.67545785945876), (-73.93884149817444, 40.6754921517155), (-73.93876783935562, 40.67627240888502), (-73.9386949143591, 40.67705082000206), (-73.93863289980794, 40.677769920102925), (-73.9398432943465, 40.67783549523865), (-73.94057783956866, 40.67787528365326), (-73.94138499635606, 40.677918994218246), (-73.94137663796481, 40.67800823081451), (-73.94136917057806, 40.678092902899905), (-73.94127655236136, 40.67918418002977), (-73.94124365333982, 40.67954954586499), (-73.94120864299792, 40.67993835324961)]"
ATLANTIC TERMINAL SITE 4B,"(-73.97078728547517, 40.682787801570164)","(-73.97443995690084, 40.68630969378093)",0.0057329217058534505,"[(-73.97078728547517, 40.682787801570164), (-73.97081371590703, 40.68292324245692), (-73.97082526735734, 40.682982435403815), (-73.97083104781161, 40.68301205457783), (-73.97087172960626, 40.683220519316464), (-73.97093864822119, 40.68352062105759), (-73.9712392213219, 40.68502748689514), (-73.97231249552347, 40.68545823415854), (-73.97276482726946, 40.68564129207933), (-73.97307314853371, 40.685763053469856), (-73.97337475185097, 40.68588481532597), (-73.97443995690084, 40.68630969378093)]"
BAY VIEW,"(-73.88574662884832, 40.633625770904615)","(-73.90201020658124, 40.64619881566991)",0.021966894672732357,"[(-73.88574662884832, 40.633625770904615), (-73.88593257874223, 40.633889258199325), (-73.88652899746775, 40.6348395116389), (-73.8872216021577, 40.63439235756281), (-73.8878383253564, 40.63491737146138), (-73.88792544059152, 40.63486252777495), (-73.888028028747, 40.6347979423887), (-73.88807508325702, 40.63476816927013), (-73.88833195159256, 40.63460563810762), (-73.88838707629913, 40.634570758717906), (-73.88877396356463, 40.6343259564007), (-73.88882449882125, 40.63436739340106), (-73.88887901505896, 40.634416758500194), (-73.89067699639358, 40.63604471219315), (-73.89249500146032, 40.637676150769046), (-73.89431256091183, 40.63930915334984), (-73.8961305303342, 40.640941190210754), (-73.89661978833928, 40.64138032835242), (-73.8979490731379, 40.642573379228864), (-73.89902427520327, 40.643539405734025), (-73.89979086773329, 40.644226775853944), (-73.9004974886274, 40.64486709970463), (-73.90143322532157, 40.64570373074788), (-73.90201020658124, 40.64619881566991)]"
BEDFORD-STUYVESANT REHAB,"(-73.94211504270801, 40.694686309952104)","(-73.94114917214166, 40.70028112749204)",0.007316352231296228,"[(-73.94211504270801, 40.694686309952104), (-73.94105809926592, 40.69480706801829), (-73.94098034322441, 40.69481595151608), (-73.94041185850996, 40.69488089676258), (-73.94055657058136, 40.69561563914145), (-73.94070625153131, 40.696353053879236), (-73.94081036003385, 40.69686937634222), (-73.94083220746896, 40.696976804602215), (-73.94090103075031, 40.69731521620944), (-73.94093882545762, 40.69750105626059), (-73.94096639816361, 40.69763663067542), (-73.94101903715477, 40.697895457396534), (-73.9410385097804, 40.69799120320834), (-73.94105513993843, 40.698072973436005), (-73.94107572995449, 40.69817421386994), (-73.9411503532608, 40.69854113134106), (-73.9413088072284, 40.69929247369737), (-73.9414309536809, 40.69993432173255), (-73.94114917214166, 40.70028112749204)]"
BORINQUEN PLAZA I,"(-73.94273448447798, 40.70447330641363)","(-73.94114917214166, 40.70028112749204)",0.004977614455534181,"[(-73.94273448447798, 40.70447330641363), (-73.94261480187355, 40.70376360733348), (-73.94249471625714, 40.70305349021571), (-73.94238140597824, 40.702345553481955), (-73.94226698299158, 40.70163655003682), (-73.94218426132606, 40.701150648502725), (-73.94219762573066, 40.70111630088337), (-73.94221599827546, 40.70108332062495), (-73.94223914418518, 40.701052129155755), (-73.94226676791362, 40.701023124951526), (-73.94229851626727, 40.70099667874578), (-73.94233398355637, 40.700973128472086), (-73.94220058705265, 40.70089066746779), (-73.94193078882317, 40.70072523369068), (-73.94114917214166, 40.70028112749204)]"
BORINQUEN PLAZA II,"(-73.94073750255133, 40.70538244256799)","(-73.93983705824066, 40.70765368652589)",0.0034215077213667496,"[(-73.94073750255133, 40.70538244256799), (-73.93987042162756, 40.70546344157838), (-73.93990967399665, 40.70575145717902), (-73.93996713243607, 40.70617304846455), (-73.93959751825243, 40.70621044685607), (-73.93971460727494, 40.70691829197324), (-73.93983705824066, 40.70765368652589)]"
BREUKELEN,"(-73.89478629982644, 40.650916266763915)","(-73.89900463451397, 40.65136845874942)",0.005322893358685386,"[(-73.89478629982644, 40.650916266763915), (-73.89501108403364, 40.651117851478816), (-73.89506862493788, 40.651169453301904), (-73.89553201732768, 40.65158501390254), (-73.89565151783941, 40.65169217818737), (-73.89586154935958, 40.65188052683078), (-73.89621590671945, 40.65164801809641), (-73.8962795764656, 40.65160624169561), (-73.89655685965546, 40.65142430250594), (-73.89661390716178, 40.65138687050667), (-73.89675272263936, 40.651295786074165), (-73.89680700376482, 40.65126016901036), (-73.89721054793164, 40.65099537873812), (-73.89727504547254, 40.65095316276218), (-73.89736588067423, 40.65089370729724), (-73.89742477862504, 40.650855011706575), (-73.89757174797231, 40.6507588869298), (-73.89771516057255, 40.65066508811568), (-73.8977945716983, 40.65061310932766), (-73.89797649483312, 40.650494030868174), (-73.89900463451397, 40.65136845874942)]"
BREVOORT,"(-73.9239192587028, 40.68049959380221)","(-73.92138956858267, 40.679084196329256)",0.005220700277946149,"[(-73.9239192587028, 40.68049959380221), (-73.92402583965311, 40.68097468200822), (-73.9236128124628, 40.681022425010426), (-73.9232616333311, 40.680827839430854), (-73.92323148303721, 40.68092842523593), (-73.92315629188833, 40.68101983411581), (-73.9230420796224, 40.68109063892363), (-73.92287784972405, 40.68112654139062), (-73.92253140158725, 40.681170513861545), (-73.92242652099652, 40.68121074517347), (-73.92240197058248, 40.68108955298375), (-73.92238256009603, 40.680993736828015), (-73.92236962396007, 40.68092987977376), (-73.92235458562172, 40.68085564480018), (-73.92233849620887, 40.68077621826839), (-73.92231261910513, 40.68064847331614), (-73.92227774187859, 40.680476293256355), (-73.92225617616074, 40.680367763947714), (-73.92223681791744, 40.68027034321343), (-73.92221627027567, 40.680166934732384), (-73.92217715658306, 40.679970085487554), (-73.92215222981633, 40.67984463475113), (-73.9221324286599, 40.67974497719794), (-73.92211150002083, 40.679657556777904), (-73.92208787202036, 40.67955885739571), (-73.92205453523513, 40.67941960385454), (-73.92203214093097, 40.67932605894956), (-73.92201534562966, 40.6792558998487), (-73.92199990804882, 40.6791914141546), (-73.9219737627604, 40.679077488785175), (-73.92183500137108, 40.678945559144346), (-73.92164748131954, 40.678870547032666), (-73.9216273155062, 40.67892796884778), (-73.92162721946735, 40.67892823833451), (-73.92162706407801, 40.678928454004414), (-73.92158809726061, 40.678982901784046), (-73.92158802583687, 40.678983009958294), (-73.92158790733387, 40.678983108216336), (-73.92153192788753, 40.679029481941114), (-73.92153176113898, 40.67902962623631), (-73.92153158301241, 40.67902971557467), (-73.92146363943212, 40.679063826283915), (-73.92146336595988, 40.67906396933347), (-73.9214630227837, 40.6790640679406), (-73.92138956858267, 40.679084196329256)]"
BROWN,"(-73.9129017249793, 40.67317791956394)","(-73.91174966018426, 40.67757038402874)",0.007090025427077179,"[(-73.9129017249793, 40.67317791956394), (-73.91279027505118, 40.673171698423666), (-73.91269518420103, 40.67316639022037), (-73.9125883801649, 40.67316042822496), (-73.91168802737364, 40.673110165624195), (-73.91161308432234, 40.672997615610406), (-73.91139189674357, 40.67308966722838), (-73.91122305892796, 40.67316160505513), (-73.91115101811627, 40.673978650250966), (-73.91107588073913, 40.67475706067127), (-73.91100238542877, 40.67554411734753), (-73.91093397393234, 40.67626103661966), (-73.91092600900731, 40.676344445404816), (-73.91091823327714, 40.67641897485801), (-73.91081358355416, 40.67752114234114), (-73.91174966018426, 40.67757038402874)]"
BROWNSVILLE,"(-73.9079050035785, 40.66589336414003)","(-73.90892035289427, 40.66255460717905)",0.004947883092826779,"[(-73.9079050035785, 40.66589336414003), (-73.90753953063988, 40.664364885935434), (-73.90765133398749, 40.66434798437707), (-73.90794328519834, 40.66430384790184), (-73.90802167111589, 40.66429199768238), (-73.90814859396471, 40.664272809913854), (-73.90829738013466, 40.664250273294684), (-73.9083861042643, 40.66423683419021), (-73.90848716227686, 40.66422152684018), (-73.90857549838522, 40.66420814641839), (-73.90865506378631, 40.66419609433084), (-73.90895102789315, 40.66415126290818), (-73.90903658351479, 40.66413830277244), (-73.90930543485972, 40.66409757722226), (-73.90917163714369, 40.66356147697041), (-73.90914238058295, 40.66344425239265), (-73.90892035289427, 40.66255460717905)]"
BUSHWICK,"(-73.93920628361626, 40.70269338004049)","(-73.94114917214166, 40.70028112749204)",0.004072897240410581,"[(-73.93920628361626, 40.70269338004049), (-73.93903673126174, 40.70264181829304), (-73.93900123947549, 40.70235809564632), (-73.93897487453589, 40.70215798329008), (-73.93891095184793, 40.7017415167008), (-73.93886864126148, 40.701427672478765), (-73.9395100827194, 40.701279781248125), (-73.93982495738383, 40.701208798645844), (-73.94001712055982, 40.70116614766985), (-73.94020563904989, 40.701124305143956), (-73.94042057874316, 40.701076598294954), (-73.94114917214166, 40.70028112749204)]"
CAREY GARDENS,"(-73.98996395141883, 40.57546220844776)","(-73.98156367397989, 40.576981820497444)",0.009151803946509737,"[(-73.98996395141883, 40.57546220844776), (-73.99007402701699, 40.57604149907473), (-73.98901555345836, 40.57615831757322), (-73.9879538520176, 40.576275774319356), (-73.98689291474096, 40.57639209604422), (-73.98583251618797, 40.57650969600389), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND,"(-73.99636029761535, 40.57277403164797)","(-73.98156367397989, 40.576981820497444)",0.0167193759072225,"[(-73.99636029761535, 40.57277403164797), (-73.9959608454797, 40.57278773963882), (-73.99579140428621, 40.57280142239687), (-73.99568523467174, 40.5728099954693), (-73.99490444381993, 40.57287304021294), (-73.99382750900746, 40.573012902055076), (-73.99277259014403, 40.57319823125334), (-73.99174340405398, 40.57343001107267), (-73.99094831543192, 40.57364650523814), (-73.99086419687762, 40.5736694095858), (-73.99071712186533, 40.5737094554514), (-73.98992499125329, 40.57393637131521), (-73.98982121767227, 40.57396609765682), (-73.98968697877935, 40.574004550970876), (-73.9886863897681, 40.57429467743252), (-73.98763474335165, 40.57459428191174), (-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITE 1B),"(-73.98702986347766, 40.57477027954194)","(-73.98156367397989, 40.576981820497444)",0.007147352168938115,"[(-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITE 8),"(-74.00045899219964, 40.57372138846097)","(-73.98156367397989, 40.576981820497444)",0.020396129411015197,"[(-74.00045899219964, 40.57372138846097), (-74.00048497234205, 40.57385885422326), (-74.0006164651943, 40.574554602612025), (-74.00067580330948, 40.57486856066887), (-73.99961512279324, 40.57498420714532), (-73.99855647023543, 40.575100564732445), (-73.99749692764964, 40.57521779458624), (-73.99643826762703, 40.575335501199824), (-73.995379757615, 40.57545082048347), (-73.99431553806208, 40.57557399189109), (-73.99326198042282, 40.575695154264935), (-73.9921959710341, 40.57580857079), (-73.99113479997438, 40.575925679360616), (-73.99015545199933, 40.576032608923555), (-73.99007402701699, 40.57604149907473), (-73.98901555345836, 40.57615831757322), (-73.9879538520176, 40.576275774319356), (-73.98689291474096, 40.57639209604422), (-73.98583251618797, 40.57650969600389), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
CONEY ISLAND I (SITES 4 & 5),"(-73.99298145774439, 40.574311013674)","(-73.98156367397989, 40.576981820497444)",0.014235010179231391,"[(-73.99298145774439, 40.574311013674), (-73.99277259014403, 40.57319823125334), (-73.99174340405398, 40.57343001107267), (-73.99094831543192, 40.57364650523814), (-73.99086419687762, 40.5736694095858), (-73.99071712186533, 40.5737094554514), (-73.98992499125329, 40.57393637131521), (-73.98982121767227, 40.57396609765682), (-73.98968697877935, 40.574004550970876), (-73.9886863897681, 40.57429467743252), (-73.98763474335165, 40.57459428191174), (-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
COOPER PARK,"(-73.93846133616383, 40.717642766580404)","(-73.94438746538694, 40.714531601128066)",0.007853102266138582,"[(-73.93846133616383, 40.717642766580404), (-73.93871525487887, 40.71756367068291), (-73.93880544065368, 40.71753557782199), (-73.9394010730553, 40.71735003418356), (-73.93950299395534, 40.71731828464647), (-73.94023120848522, 40.71709143452833), (-73.94183620925426, 40.71692291536274), (-73.94207696915724, 40.716177576650324), (-73.94216246822579, 40.71545133979282), (-73.94216076925149, 40.715063048003245), (-73.94258994533376, 40.71487728613252), (-73.94273549762208, 40.71486784409933), (-73.94270638160356, 40.71468948326522), (-73.94438746538694, 40.714531601128066)]"
CYPRESS HILLS,"(-73.87252831887494, 40.66961782388302)","(-73.87191497686275, 40.67540264798403)",0.007763674589925758,"[(-73.87252831887494, 40.66961782388302), (-73.87236654238883, 40.66954984088985), (-73.8705617178768, 40.66979734789319), (-73.87083179938256, 40.670949429997236), (-73.87092538938347, 40.67132686041264), (-73.8711095221607, 40.672074510659364), (-73.8711214596557, 40.672122980502124), (-73.87116424789936, 40.67229671458812), (-73.87117440924573, 40.672337972365035), (-73.87130258072807, 40.672858385384814), (-73.87159867198847, 40.67413367562961), (-73.87191497686275, 40.67540264798403)]"
EAST NEW YORK CITY LINE,"(-73.8733301230153, 40.66871051629619)","(-73.87191497686275, 40.67540264798403)",0.00970796513373206,"[(-73.8733301230153, 40.66871051629619), (-73.87336453011466, 40.668756222325776), (-73.87342739806326, 40.6688397350616), (-73.87346268930177, 40.66888661456263), (-73.87373735060449, 40.6692514666022), (-73.87296401629912, 40.66953512646912), (-73.87252831887494, 40.66961782388302), (-73.87236654238883, 40.66954984088985), (-73.8705617178768, 40.66979734789319), (-73.87083179938256, 40.670949429997236), (-73.87092538938347, 40.67132686041264), (-73.8711095221607, 40.672074510659364), (-73.8711214596557, 40.672122980502124), (-73.87116424789936, 40.67229671458812), (-73.87117440924573, 40.672337972365035), (-73.87130258072807, 40.672858385384814), (-73.87159867198847, 40.67413367562961), (-73.87191497686275, 40.67540264798403)]"
