housing_development,housing_node,subway_node,path_length,path_nodes
FARRAGUT,"(-73.98230239437191, 40.699808187845576)","(-73.98674782248713, 40.70152649984747)",0.005262170408168985,"[(-73.98230239437191, 40.699808187845576), (-73.98240409023678, 40.69981111522879), (-73.98255293210472, 40.69981539927797), (-73.9826436890017, 40.69981801134729), (-73.98273644237719, 40.69982068110635), (-73.98282408043444, 40.69982320344105), (-73.98289842031586, 40.69983292388753), (-73.98294189773156, 40.69983718519643), (-73.98300984530572, 40.6998376371835), (-73.98355227896155, 40.69984273609866), (-73.98367606072837, 40.699843584321), (-73.98386662248514, 40.699845234529214), (-73.98404712858277, 40.699846267326095), (-73.98422754555328, 40.69985070590386), (-73.98440776275939, 40.699858547312786), (-73.98458766914035, 40.699869786958395), (-73.9847513613165, 40.700014204347504), (-73.98489917784771, 40.70016018931701), (-73.98505652797654, 40.700300577744436), (-73.98522285008738, 40.70043485236233), (-73.98529224418165, 40.700485574759995), (-73.98544715580444, 40.70059289011495), (-73.98557111382078, 40.70065755414441), (-73.9856447162353, 40.700695182592284), (-73.98576265256773, 40.70075817552851), (-73.98588383579839, 40.700817491830776), (-73.98600806816108, 40.7008730346932), (-73.98613514691179, 40.70092471346806), (-73.98626486460897, 40.700972443768855), (-73.98639700960162, 40.701016147744205), (-73.98653136622777, 40.701055754067404), (-73.98666771521475, 40.70109119809904), (-73.98678331779197, 40.70111969776003), (-73.98674782248713, 40.70152649984747)]"
GARVEY (GROUP A),"(-73.91553422577068, 40.67024338301324)","(-73.91174966018426, 40.67757038402874)",0.010304720440698582,"[(-73.91553422577068, 40.67024338301324), (-73.91487246337705, 40.67053222822069), (-73.91461857795773, 40.67064323825185), (-73.91454485604129, 40.670675472513764), (-73.91403857192103, 40.670896839323994), (-73.9141008998342, 40.6709801656847), (-73.9141488716146, 40.671070748492426), (-73.91418051624802, 40.67116635281238), (-73.91419471250457, 40.67126434813598), (-73.91419131071513, 40.67136197952896), (-73.914171119019, 40.67145663566499), (-73.91413546000751, 40.67182392941458), (-73.91413038996762, 40.6718761829456), (-73.91412274852293, 40.67195982593554), (-73.91408727586348, 40.67234789458706), (-73.91404969595304, 40.6727542680782), (-73.91404104389885, 40.67284783314338), (-73.91400482504017, 40.67323948744062), (-73.91391976078366, 40.67412977230622), (-73.91385002405647, 40.674910549174975), (-73.91377684577539, 40.6756867553687), (-73.9137048871752, 40.67640723975979), (-73.9136960555289, 40.67649567240921), (-73.91368894369305, 40.67657103147152), (-73.91275901894089, 40.67652140512841), (-73.91264698825206, 40.67762042599163), (-73.91174966018426, 40.67757038402874)]"
GLENMORE PLAZA,"(-73.90628659451305, 40.67140980745534)","(-73.90198218142282, 40.66967007069608)",0.006142845745323161,"[(-73.90628659451305, 40.67140980745534), (-73.90613086223519, 40.67076600984646), (-73.90603113065366, 40.67038416322809), (-73.90510914815717, 40.67052786749113), (-73.90420035674025, 40.67065761692242), (-73.90326962625592, 40.67079313133521), (-73.90271759037115, 40.67087158961977), (-73.90259611541052, 40.67088933241721), (-73.90237704150758, 40.67092254292449), (-73.90232728093362, 40.670930086187326), (-73.90228822560194, 40.6709360064641), (-73.90198218142282, 40.66967007069608)]"
GLENWOOD,"(-73.92100951343754, 40.63418569425433)","(-73.90201020658124, 40.64619881566991)",0.023831932397680947,"[(-73.92100951343754, 40.63418569425433), (-73.92091254726157, 40.63417001774376), (-73.9208141869591, 40.634160652541745), (-73.92071513900373, 40.63415766591383), (-73.91995189506412, 40.63416676580327), (-73.91977042651261, 40.63402112262855), (-73.9195900658599, 40.63400678300904), (-73.91955599932155, 40.63402874010807), (-73.91950580969763, 40.634061089605844), (-73.91939493011043, 40.634132555362164), (-73.91885164469278, 40.63448271897984), (-73.91790929797332, 40.635098266694406), (-73.91714662190425, 40.63558876408802), (-73.91643083404439, 40.636046628447986), (-73.91605775155239, 40.63628602057866), (-73.91571451380112, 40.63650627095296), (-73.91532808913621, 40.636757132498445), (-73.91494383807022, 40.637006590123924), (-73.91453326236585, 40.637271920667985), (-73.91417502321552, 40.63750342057058), (-73.91346171889013, 40.637964960565576), (-73.91274790785081, 40.63842737794078), (-73.91203383776293, 40.638890115006106), (-73.91129273680916, 40.639368729586195), (-73.9105466338199, 40.63984901981391), (-73.9104376996167, 40.6399188156947), (-73.90983126204802, 40.64030738405345), (-73.90911926743973, 40.64077015835976), (-73.90840319912007, 40.641231349056454), (-73.90763661340604, 40.6417296416469), (-73.90681143221241, 40.64225799455206), (-73.9063216846757, 40.64256122443777), (-73.90541680534773, 40.643128809895735), (-73.90470192623533, 40.64359066363543), (-73.90398788802979, 40.644052296668335), (-73.9031119767143, 40.64462270711225), (-73.90231269803894, 40.645134704867544), (-73.90143322532157, 40.64570373074788), (-73.90201020658124, 40.64619881566991)]"
GOWANUS,"(-73.98850855188016, 40.68354722437831)","(-73.99090315101355, 40.686082425143105)",0.005002959486212238,"[(-73.98850855188016, 40.68354722437831), (-73.98858312002857, 40.68357628426801), (-73.98866408976504, 40.68360783889084), (-73.98874253382263, 40.683638409152444), (-73.98881657140934, 40.68366726227709), (-73.98897341586549, 40.68372838594892), (-73.98905308017866, 40.6837594318936), (-73.98935168382022, 40.683875799276564), (-73.98939982690635, 40.683894560947365), (-73.98955662622033, 40.68395566622786), (-73.98937667516817, 40.68422200352745), (-73.98934916453078, 40.68426272191207), (-73.98915215960731, 40.684554299319785), (-73.98912840728988, 40.68458945307347), (-73.98909813425125, 40.68463558110297), (-73.98906873902831, 40.68468037183505), (-73.9888192633713, 40.68506050861354), (-73.988787965651, 40.68510819882122), (-73.98871156098788, 40.685224617977084), (-73.99090315101355, 40.686082425143105)]"
GRAVESEND,"(-74.00030403587535, 40.57878035001962)","(-73.98156367397989, 40.576981820497444)",0.021989338180769147,"[(-74.00030403587535, 40.57878035001962), (-74.0002946665236, 40.57872712559516), (-74.00023604013423, 40.57839408785274), (-74.00022612377902, 40.57833775893314), (-74.00019522610451, 40.57816223818453), (-74.00018841295413, 40.57812353436201), (-74.00015149007028, 40.577913780297635), (-74.00014212008278, 40.57786055200334), (-74.00009825327152, 40.57761135193384), (-74.0000888066871, 40.57755768554416), (-74.00003382458894, 40.57724533420243), (-73.99949581672956, 40.57731626157168), (-73.99940884686835, 40.57732772670823), (-73.99925100722051, 40.57734853412366), (-73.99912527136411, 40.577365109608536), (-73.99897586956563, 40.577340154855534), (-73.99798630437247, 40.577465989928506), (-73.9979090518203, 40.57747302177165), (-73.99781077653844, 40.57748711285701), (-73.99718091031606, 40.57755033397239), (-73.99695754933525, 40.577573355035504), (-73.99685610884966, 40.57758389728065), (-73.995797044457, 40.57769315094562), (-73.99473863620749, 40.5778161458647), (-73.99369720866828, 40.57793489078809), (-73.99326198042282, 40.575695154264935), (-73.9921959710341, 40.57580857079), (-73.99113479997438, 40.575925679360616), (-73.99015545199933, 40.576032608923555), (-73.99007402701699, 40.57604149907473), (-73.98901555345836, 40.57615831757322), (-73.9879538520176, 40.576275774319356), (-73.98689291474096, 40.57639209604422), (-73.98583251618797, 40.57650969600389), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
HABER,"(-73.99052620162682, 40.57247606143974)","(-73.98156367397989, 40.576981820497444)",0.012232269220724396,"[(-73.99052620162682, 40.57247606143974), (-73.99062745574764, 40.57313020049176), (-73.99063998962058, 40.573211171062745), (-73.99065013356125, 40.57327670023793), (-73.99066666972118, 40.57338352831246), (-73.99071712186533, 40.5737094554514), (-73.98992499125329, 40.57393637131521), (-73.98982121767227, 40.57396609765682), (-73.98968697877935, 40.574004550970876), (-73.9886863897681, 40.57429467743252), (-73.98763474335165, 40.57459428191174), (-73.98702986347766, 40.57477027954194), (-73.9869396371495, 40.57479653158493), (-73.98660774857038, 40.57489309576248), (-73.98572242289762, 40.57511680541665), (-73.98557308976756, 40.57514996196313), (-73.98451903070446, 40.57530375122421), (-73.9847735908171, 40.57662632223796), (-73.98371127190396, 40.57674332589292), (-73.98265122906933, 40.57685931154007), (-73.98156367397989, 40.576981820497444)]"
HOWARD,"(-73.90908490956136, 40.67124896589692)","(-73.90198218142282, 40.66967007069608)",0.009111681315647338,"[(-73.90908490956136, 40.67124896589692), (-73.90868777739055, 40.671307827606626), (-73.90830768415546, 40.671364167666894), (-73.90733678997255, 40.671505806436386), (-73.90635681567358, 40.671651427676956), (-73.90543588956689, 40.671788678381525), (-73.90451556375946, 40.67192553539148), (-73.90359587543405, 40.672060034990075), (-73.90314683608928, 40.67212542327667), (-73.90295899866778, 40.672152774753755), (-73.90278377836322, 40.67217880423675), (-73.9026600835481, 40.672197178648226), (-73.90228822560194, 40.6709360064641), (-73.90198218142282, 40.66967007069608)]"
HUGHES APARTMENTS,"(-73.9084500684676, 40.66824995757996)","(-73.90892035289427, 40.66255460717905)",0.007406706151072467,"[(-73.9084500684676, 40.66824995757996), (-73.9092712207801, 40.668127814458174), (-73.90947429465535, 40.668016300946086), (-73.90961835117075, 40.667929448589284), (-73.90964247793912, 40.66790866190524), (-73.90966215746158, 40.66788531582409), (-73.9096769290028, 40.66785995692811), (-73.90968644673517, 40.66783317892319), (-73.9096904878349, 40.66780560873901), (-73.90961833518153, 40.66753679260231), (-73.90960658932858, 40.66752205461622), (-73.90959260547316, 40.66750849653451), (-73.90957658576059, 40.66749631434644), (-73.90954464925822, 40.66746876441284), (-73.90951924427272, 40.667437521032035), (-73.9095010927843, 40.66740347211651), (-73.90949071063193, 40.66736758530838), (-73.90948086540766, 40.667326468457965), (-73.90946398641873, 40.66728669901148), (-73.90944036839893, 40.66724897137736), (-73.90951536145182, 40.66723805562763), (-73.9095932017813, 40.66722672542446), (-73.91009068718934, 40.667154312159276), (-73.9099064652888, 40.66643619371876), (-73.90989734528661, 40.66640064332798), (-73.9098881184925, 40.666364676210485), (-73.90988178105489, 40.66633997208684), (-73.90987422371477, 40.66631051306425), (-73.90986555415537, 40.66627671687421), (-73.90969893782855, 40.66562720717732), (-73.90951662997435, 40.66491854576749), (-73.90950213747115, 40.664862212608156), (-73.90947772934803, 40.664767332150085), (-73.90946045511767, 40.664700185037184), (-73.90930543485972, 40.66409757722226), (-73.90917163714369, 40.66356147697041), (-73.90914238058295, 40.66344425239265), (-73.90892035289427, 40.66255460717905)]"
HYLAN,"(-73.940005361136, 40.703973160553)","(-73.94114917214166, 40.70028112749204)",0.004729163017979058,"[(-73.940005361136, 40.703973160553), (-73.93988701674502, 40.7039118228888), (-73.93987501300973, 40.70351676201537), (-73.94005021550558, 40.70339771022891), (-73.93996576440263, 40.70287169609856), (-73.9400876813909, 40.702823658202185), (-73.93999455370937, 40.70225240567673), (-73.93998790914421, 40.70221597693386), (-73.93996641726768, 40.70210833852467), (-73.93982495738383, 40.701208798645844), (-73.94001712055982, 40.70116614766985), (-73.94020563904989, 40.701124305143956), (-73.94042057874316, 40.701076598294954), (-73.94114917214166, 40.70028112749204)]"
INGERSOLL,"(-73.97990996788961, 40.69483563936558)","(-73.98146737707866, 40.69082439499143)",0.006157542117338508,"[(-73.97990996788961, 40.69483563936558), (-73.9801579748051, 40.69482454684754), (-73.98024930373892, 40.6948180666838), (-73.9804083285753, 40.694809040016274), (-73.98040077413356, 40.694773299616365), (-73.9802744726839, 40.694784124764524), (-73.98027543189652, 40.694764770493315), (-73.98035444012909, 40.69475271801672), (-73.98046187766764, 40.69473632917931), (-73.98075195744902, 40.694645225920944), (-73.98094152520167, 40.69416429394303), (-73.98095058965436, 40.694032460448824), (-73.98098333196738, 40.6935566169112), (-73.98147150314745, 40.693574935414254), (-73.98154757038635, 40.69357778957021), (-73.98175316942715, 40.693583385433236), (-73.98175889043786, 40.692955172537104), (-73.98177533905785, 40.69246763606434), (-73.98179025883418, 40.692025415985896), (-73.98148623557117, 40.692013895033575), (-73.98156931536765, 40.69191265479835), (-73.98146737707866, 40.69082439499143)]"
KINGSBOROUGH,"(-73.92483135485902, 40.676293207288545)","(-73.92138956858267, 40.679084196329256)",0.006011686264317995,"[(-73.92483135485902, 40.676293207288545), (-73.92479192219689, 40.67701516950796), (-73.92478283596881, 40.67710114469006), (-73.92378873422707, 40.67704607213032), (-73.9228218505652, 40.67699154985277), (-73.92268111902845, 40.67706109583024), (-73.92181539031648, 40.67701838995928), (-73.92171159945374, 40.67811571394572), (-73.92164748131954, 40.678870547032666), (-73.9216273155062, 40.67892796884778), (-73.92162721946735, 40.67892823833451), (-73.92162706407801, 40.678928454004414), (-73.92158809726061, 40.678982901784046), (-73.92158802583687, 40.678983009958294), (-73.92158790733387, 40.678983108216336), (-73.92153192788753, 40.679029481941114), (-73.92153176113898, 40.67902962623631), (-73.92153158301241, 40.67902971557467), (-73.92146363943212, 40.679063826283915), (-73.92146336595988, 40.67906396933347), (-73.9214630227837, 40.6790640679406), (-73.92138956858267, 40.679084196329256)]"
KINGSBOROUGH EXTENSION,"(-73.92458402482623, 40.67471332213733)","(-73.92138956858267, 40.679084196329256)",0.007208908322059589,"[(-73.92458402482623, 40.67471332213733), (-73.92366861525805, 40.67466317595273), (-73.922693609908, 40.67460391903197), (-73.92204843320636, 40.67457439719808), (-73.92197495287272, 40.67534854726978), (-73.92190090521791, 40.6761316210445), (-73.92183232561977, 40.67684904175911), (-73.9218236101585, 40.676938357970386), (-73.92181539031648, 40.67701838995928), (-73.92171159945374, 40.67811571394572), (-73.92164748131954, 40.678870547032666), (-73.9216273155062, 40.67892796884778), (-73.92162721946735, 40.67892823833451), (-73.92162706407801, 40.678928454004414), (-73.92158809726061, 40.678982901784046), (-73.92158802583687, 40.678983009958294), (-73.92158790733387, 40.678983108216336), (-73.92153192788753, 40.679029481941114), (-73.92153176113898, 40.67902962623631), (-73.92153158301241, 40.67902971557467), (-73.92146363943212, 40.679063826283915), (-73.92146336595988, 40.67906396933347), (-73.9214630227837, 40.6790640679406), (-73.92138956858267, 40.679084196329256)]"
LAFAYETTE,"(-73.95848313297336, 40.68905563896543)","(-73.96000519802665, 40.688881033215665)",0.001532047386451928,"[(-73.95848313297336, 40.68905563896543), (-73.95890061302819, 40.689007749309056), (-73.9590046277077, 40.68899581707336), (-73.95965676553152, 40.68892100544484), (-73.95983241027356, 40.6889008555325), (-73.95991522425447, 40.68889135510969), (-73.96000519802665, 40.688881033215665)]"
LONG ISLAND BAPTIST HOUSES,"(-73.89742786841848, 40.667448679137536)","(-73.89501573439519, 40.664600618173175)",0.004827261342229547,"[(-73.89742786841848, 40.667448679137536), (-73.89711651716242, 40.667494149329436), (-73.89701818405409, 40.66750850996829), (-73.89670364704425, 40.667554444431964), (-73.89658651721415, 40.66708995718723), (-73.89656178049286, 40.66699186068319), (-73.89648567844047, 40.66669006635097), (-73.89646841902126, 40.66662162231327), (-73.89631628311461, 40.66601829249549), (-73.89592090099637, 40.66447126248341), (-73.89501573439519, 40.664600618173175)]"
LOW HOUSES,"(-73.90479077559772, 40.669253986840545)","(-73.90198218142282, 40.66967007069608)",0.005425851843704925,"[(-73.90479077559772, 40.669253986840545), (-73.9043606924343, 40.66931727163683), (-73.90426139746411, 40.66933188225593), (-73.90388454132987, 40.66938735182294), (-73.90342596774423, 40.669457094661965), (-73.9029464105058, 40.66953004757731), (-73.90262640362398, 40.66827343100287), (-73.90214995642877, 40.66834235770402), (-73.901892019662, 40.66837967183572), (-73.9017216316303, 40.6684053865275), (-73.90166767890693, 40.66841352869019), (-73.90198218142282, 40.66967007069608)]"
MARCY,"(-73.95130462375627, 40.6973915348668)","(-73.94906040049318, 40.69463777791864)",0.004671557479225732,"[(-73.95130462375627, 40.6973915348668), (-73.95122537131093, 40.697400693532295), (-73.95106293944593, 40.69741946470421), (-73.95097489381686, 40.69742963936437), (-73.95079450574576, 40.69745048520706), (-73.95067938174125, 40.69746378869592), (-73.95048164055991, 40.69748663911634), (-73.95025274298033, 40.6975130889636), (-73.94974737531022, 40.697571484880804), (-73.94964732352108, 40.69758304560212), (-73.9495002443153, 40.69684766769583), (-73.94944650050202, 40.6965652162927), (-73.94942972973345, 40.696493248224535), (-73.94935578717045, 40.69612159280895), (-73.94930333087437, 40.69585967151903), (-73.9492661411969, 40.69567397651647), (-73.94920679216114, 40.69537763178808), (-73.94906040049318, 40.69463777791864)]"
MARLBORO,"(-73.98068818906404, 40.591973080374615)","(-73.98380318227053, 40.58904211918425)",0.006200302493482926,"[(-73.98068818906404, 40.591973080374615), (-73.98019776884071, 40.58944819378686), (-73.98091827940875, 40.589369748135745), (-73.98188103022417, 40.5892596293193), (-73.98281165369652, 40.589157830542405), (-73.98380318227053, 40.58904211918425)]"
NOSTRAND,"(-73.93659915770996, 40.59645741430454)","(-73.95511439337443, 40.59494790108506)",0.01914158530276476,"[(-73.93659915770996, 40.59645741430454), (-73.93715260820456, 40.596400482118035), (-73.93727309230681, 40.596388087624504), (-73.9373676001785, 40.596378365013805), (-73.93757796720034, 40.59635672362629), (-73.9376991569219, 40.596344256026626), (-73.93782453554111, 40.59633135750256), (-73.93819900898458, 40.59629283210061), (-73.93888588774398, 40.5962127937844), (-73.93912360122012, 40.59618509318296), (-73.93937947844216, 40.59615527555936), (-73.93980558675128, 40.59610561889003), (-73.94042477101623, 40.59603345919273), (-73.94069571812554, 40.5960018820321), (-73.94089356428599, 40.59597882388315), (-73.94101897126534, 40.59592089455202), (-73.94203169356663, 40.59580885333966), (-73.94295977097977, 40.595706883503794), (-73.94388433686993, 40.595604858890475), (-73.94481255095828, 40.5955024327193), (-73.94577449198366, 40.59539762885174), (-73.94624720944957, 40.59534523302185), (-73.94673768403986, 40.59529087182747), (-73.94766300616102, 40.59518870073154), (-73.94858996734995, 40.595087710868185), (-73.94951891108559, 40.59498479702648), (-73.9505541471592, 40.59487085380842), (-73.9517546518547, 40.59473821268688), (-73.95269927278541, 40.594637791650946), (-73.95276840892019, 40.59500018132204), (-73.95282748126152, 40.59499382121448), (-73.95364935333164, 40.59490525609356), (-73.95364949531825, 40.594905237890146), (-73.95372846269339, 40.59489673292661), (-73.95380672133415, 40.5948881462047), (-73.95424093751176, 40.594840511104714), (-73.95463048230063, 40.59479777371925), (-73.95469070034966, 40.5947911698538), (-73.9547351473099, 40.59502855586715), (-73.95511439337443, 40.59494790108506)]"
